r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 76.975000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 82.725000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 86.100000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 90.375000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 91.450000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 92.125000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 94.525000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 95.925000
r : 3 	 pOfError : 0.3 	 pGB : 0.3 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 96.800000

r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 76.125000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 80.925000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 83.850000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 86.600000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 89.375000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 90.175000
